Date,Category,Description,Amount,Payment_Mode,Month
2024-07-08,Food,Restaurant Dinner,750,UPI,July
2024-07-10,Healthcare,Medicine,290,Cash,July
2024-07-13,Education,Online Course,1799,Credit Card,July
2024-07-15,Food,Grocery Shopping,900,UPI,July
2024-07-17,Utilities,Electricity Bill,1100,Net Banking,July
2024-07-19,Transport,Cab Booking,430,UPI,July
2024-07-21,Food,Cafeteria Lunch,200,Cash,July
2024-07-24,Entertainment,Concert Tickets,1200,UPI,July
2024-07-27,Shopping,Clothing,1400,Credit Card,July
2024-08-01,Food,Grocery Shopping,960,UPI,August
2024-08-03,Transport,Bus Pass,500,Cash,August
2024-08-06,Entertainment,Hotstar,299,Credit Card,August
2024-08-08,Food,Restaurant Lunch,610,UPI,August
2024-08-10,Healthcare,Gym Membership,1500,Net Banking,August
2024-08-13,Education,Books,380,UPI,August
2024-08-15,Food,Grocery Shopping,910,UPI,August
2024-08-17,Utilities,Internet Bill,699,Net Banking,August
2024-08-19,Transport,Cab Booking,370,UPI,August
2024-08-21,Food,Cafeteria Lunch,180,Cash,August
2024-08-23,Shopping,Home Essentials,1800,Credit Card,August
2024-08-26,Personal Care,Haircut,200,Cash,August
2024-09-01,Food,Grocery Shopping,880,UPI,September
2024-09-04,Transport,Auto Rickshaw,120,Cash,September
2024-09-06,Entertainment,Netflix Subscription,199,Credit Card,September
2024-09-08,Food,Restaurant Dinner,690,UPI,September
2024-09-10,Healthcare,Medicine,220,Cash,September
2024-09-13,Education,Online Course,999,Credit Card,September
2024-09-15,Food,Grocery Shopping,840,UPI,September
2024-09-17,Utilities,Electricity Bill,760,Net Banking,September
2024-09-20,Transport,Cab Booking,400,UPI,September
2024-09-22,Food,Cafeteria Lunch,195,Cash,September
2024-09-25,Entertainment,Movie Tickets,360,UPI,September
2024-09-28,Shopping,Clothing,1300,Credit Card,September
2024-10-01,Food,Grocery Shopping,930,UPI,October
2024-10-04,Transport,Bus Pass,500,Cash,October
2024-10-06,Entertainment,Spotify,119,Credit Card,October
2024-10-08,Food,Restaurant Lunch,540,UPI,October
2024-10-10,Healthcare,Doctor Visit,650,Cash,October
2024-10-13,Education,Books,500,UPI,October
2024-10-15,Food,Grocery Shopping,850,UPI,October
2024-10-17,Utilities,Internet Bill,699,Net Banking,October
2024-10-19,Transport,Cab Booking,480,UPI,October
2024-10-21,Food,Cafeteria Lunch,210,Cash,October
2024-10-24,Shopping,Festival Shopping,4200,Credit Card,October
2024-10-27,Personal Care,Skincare Products,600,UPI,October
2024-11-01,Food,Grocery Shopping,970,UPI,November
2024-11-04,Transport,Auto Rickshaw,150,Cash,November
2024-11-06,Entertainment,Netflix Subscription,199,Credit Card,November
2024-11-08,Food,Restaurant Dinner,720,UPI,November
2024-11-10,Healthcare,Medicine,260,Cash,November
2024-11-13,Education,Online Workshop,1500,Credit Card,November
2024-11-15,Food,Grocery Shopping,890,UPI,November
2024-11-17,Utilities,Electricity Bill,800,Net Banking,November
2024-11-19,Transport,Cab Booking,350,UPI,November
2024-11-21,Food,Cafeteria Lunch,185,Cash,November
2024-11-24,Entertainment,Board Games,600,UPI,November
2024-11-27,Shopping,Clothing,1700,Credit Card,November
2024-12-01,Food,Grocery Shopping,1100,UPI,December
2024-12-04,Transport,Bus Pass,500,Cash,December
2024-12-06,Entertainment,Hotstar,299,Credit Card,December
2024-12-08,Food,Restaurant Dinner,900,UPI,December
2024-12-10,Healthcare,Medicine,300,Cash,December
2024-12-13,Education,Books,650,UPI,December
2024-12-15,Food,Grocery Shopping,1050,UPI,December
2024-12-17,Utilities,Internet Bill,699,Net Banking,December
2024-12-19,Transport,Cab Booking,550,UPI,December
2024-12-22,Food,Cafeteria Lunch,230,Cash,December
2024-12-25,Shopping,Year-End Gifts,3800,Credit Card,December
2024-12-28,Entertainment,New Year Party,1500,UPI,December
